*****************************
Basic coeficients
*****************************
Alpha, Cd
   10.00    ,   -.1623E-02,   -.1784E-02,   -.1965E-02,   -.1391E-02,    .3600E-05,    .2207E-02,    .5231E-02,    .8643E-02,    .9676E-02
   12.00    ,   -.2623E-02,   -.2707E-02,   -.2602E-02,   -.1709E-02,    .4236E-05,    .2526E-02,    .5869E-02,    .9566E-02,    .1068E-01
   14.00    ,   -.3800E-02,   -.3794E-02,   -.3352E-02,   -.2084E-02,    .4987E-05,    .2901E-02,    .6618E-02,    .1065E-01,    .1185E-01
   16.00    ,   -.5102E-02,   -.4995E-02,   -.4180E-02,   -.2499E-02,    .5814E-05,    .3315E-02,    .7447E-02,    .1185E-01,    .1315E-01
   18.00    ,   -.6591E-02,   -.6369E-02,   -.5129E-02,   -.2973E-02,    .6765E-05,    .3790E-02,    .8396E-02,    .1323E-01,    .1464E-01
   19.00    ,   -.7439E-02,   -.7152E-02,   -.5669E-02,   -.3243E-02,    .7306E-05,    .4060E-02,    .8936E-02,    .1401E-01,    .1549E-01
   20.00    ,   -.8349E-02,   -.7992E-02,   -.6249E-02,   -.3533E-02,    .7880E-05,    .4349E-02,    .9516E-02,    .1485E-01,    .1640E-01
   21.00    ,   -.9699E-02,   -.9238E-02,   -.7109E-02,   -.3963E-02,    .8744E-05,    .4779E-02,    .1038E-01,    .1610E-01,    .1775E-01
   22.00    ,   -.1115E-01,   -.1058E-01,   -.8033E-02,   -.4425E-02,    .9664E-05,    .5241E-02,    .1130E-01,    .1744E-01,    .1920E-01
   24.00    ,   -.1561E-01,   -.1470E-01,   -.1088E-01,   -.5846E-02,    .1252E-04,    .6663E-02,    .1414E-01,    .2155E-01,    .2367E-01

DeltaElev, CL_Elev
  -20.00    ,   -.1068    
  -15.00    ,   -.9823E-01
  -10.00    ,   -.6762E-01
  -5.000    ,   -.3381E-01
    .000    ,    .6762E-04
   5.000    ,    .3381E-01
   10.00    ,    .6762E-01
   15.00    ,    .9823E-01
   20.00    ,    .1068    

DeltaElev, Cm_Elev
  -20.00    ,    .1907    
  -15.00    ,    .1747    
  -10.00    ,    .1206    
  -5.000    ,    .6031E-01
    .000    ,   -.1206E-03
   5.000    ,   -.6031E-01
   10.00    ,   -.1206    
   15.00    ,   -.1747    
   20.00    ,   -.1915    

DeltaElev, CLa_Elev
  -20.00    ,     .000    
  -15.00    ,     .000    
  -10.00    ,     .000    
  -5.000    ,     .000    
    .000    ,     .000    
   5.000    ,     .000    
   10.00    ,     .000    
