*****************************
Basic coeficients
*****************************
Alpha, Cd
   20.00    ,   -.1128E-01,   -.1070E-01,   -.8131E-02,   -.4481E-02,    .9805E-05,    .5312E-02,    .1146E-01,    .1769E-01,    .1948E-01
   21.00    ,   -.1204E-01,   -.1141E-01,   -.8617E-02,   -.4724E-02,    .1029E-04,    .5555E-02,    .1194E-01,    .1839E-01,    .2024E-01
   22.00    ,   -.1282E-01,   -.1212E-01,   -.9109E-02,   -.4970E-02,    .1077E-04,    .5801E-02,    .1243E-01,    .1910E-01,    .2102E-01
   24.00    ,   -.1439E-01,   -.1357E-01,   -.1011E-01,   -.5471E-02,    .1177E-04,    .6302E-02,    .1344E-01,    .2056E-01,    .2259E-01

DeltaElev, CL_Elev
  -20.00    ,   -.1130    
  -15.00    ,   -.1040    
  -10.00    ,   -.7156E-01
  -5.000    ,   -.3578E-01
    .000    ,    .7156E-04
   5.000    ,    .3578E-01
   10.00    ,    .7156E-01
   15.00    ,    .1040    
   20.00    ,    .1130    

DeltaElev, Cm_Elev
  -20.00    ,    .3213    
  -15.00    ,    .2992    
  -10.00    ,    .2066    
  -5.000    ,    .1033    
    .000    ,   -.2066E-03
   5.000    ,   -.1033    
   10.00    ,   -.2066    
   15.00    ,   -.2992    
   20.00    ,   -.3274    

DeltaElev, CLa_Elev
  -20.00    ,     .000    
  -15.00    ,     .000    
  -10.00    ,     .000    
  -5.000    ,     .000    
    .000    ,     .000    
   5.000    ,     .000    
   10.00    ,     .000    
   15.00    ,     .000    
   20.00    ,     .000    

DeltaElev, Cha_Elev
  -20.00    ,   -.3547E-02
  -15.00    ,   -.3547E-02
  -10.00    ,   -.3547E-02
  -5.000    ,   -.3547E-02
    .000    ,   -.3547E-02
   5.000    ,   -.3547E-02
   10.00    ,   -.3547E-02
   15.00    ,   -.3547E-02
   20.00    ,   -.3547E-02

DeltaElev, Chd_Elev
  -20.00    ,   -.6731E-02
  -15.00    ,   -.6292E-02
  -10.00    ,   -.6210E-02
  -5.000    ,   -.6210E-02
    .000    ,   -.6210E-02
   5.000    ,   -.6210E-02
   10.00    ,   -.6210E-02
   15.00    ,   -.6292E-02
   20.00    ,   -.6731E-02



